OBJECTID_12,Join_Count,TARGET_FID,OBJECTID,PRI_NEIGH_,PRI_NEIGH,SEC_NEIGH_,SEC_NEIGH,f1,f2,f3,f4,f5,f6,objectid_1,pri_neigh_1,excel_id,ID,Case_Number,Date_,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year_,Updated_On,Latitude,Longitude,Location,Shape_Length,Shape_Area
45,25,45,32,011,Belmont Gardens, , ,0.000000000000000,0.000000000000000,0.000000000000000,279700,Belmont Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403317&regionType=8&service=chart,183,Belmont Gardens,{FD2B0FB7-3DA8-4A57-BA50-006EA9DC3D6A},10175008,HY362294,07/30/2015 06:15:00 PM,040XX W OAKDALE AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,false,false,2523,25,31,21,3,1148887,1919348,2015,08/07/2015 01:48:49 PM,41.934624487999997,-87.728253428000002,"(41.934624488, -87.728253428)",18742.474218943004000,21546380.375562679000000
46,49,46,61,030,Calumet Heights, , ,0.154142730000000,40.408796330000001,49744.479855240003000,165500,Calumet Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273111&regionType=8&service=chart,195,Calumet Heights,{2144D6C8-AAA7-46B1-A0DF-73716CDDE29C},10180959,HY368813,08/04/2015 03:01:00 PM,091XX S STONY ISLAND AVE,320,ROBBERY,ARMED: HANDGUN,HOTEL/MOTEL,false,false,413,4,8,48,3,1188351,1844593,2015,08/11/2015 01:05:14 PM,41.728636817000002,-87.585615899999993,"(41.728636817, -87.5856159)",40912.548208128654000,40989679.074525706000000
47,5,47,63,146,Park West, , ,0.000000000000000,0.000000000000000,0.000000000000000,386000,Park West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403308&regionType=8&service=chart,193,Park West,{B08126E1-AEF8-40E7-A462-2E2CD08F97DC},9920605,HY109030,01/09/2015 02:39:00 PM,007XX W FULLERTON AVE,330,ROBBERY,ARMED: HANDGUN,OTHER,false,false,1935,19,43,7,3,1170718,1916213,2015,01/16/2015 12:48:48 PM,41.925571077000001,-87.648116631999997,"(41.925571077, -87.648116632)",10572.204881574786000,6968397.279478678500000
48,2,48,64,147,Parkview, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Parkview,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403365&regionType=8&service=chart,96,Parkview,{C83779E6-5EE8-4999-993A-42DCF9D0602F},10128915,HY316998,06/26/2015 04:10:00 PM,037XX W 86TH ST,0,ROBBERY,ARMED: HANDGUN,STREET,false,false,834,8,18,70,3,1153071,1847328,2015,07/03/2015 12:39:14 PM,41.736910446000003,-87.714783026000006,"(41.736910446, -87.714783026)",9778.917504535340400,4306342.589264882700000
49,13,49,65,193,Tri-Taylor, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Tri-Taylor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403321&regionType=8&service=chart,56,Tri-Taylor,{AC1D9CC9-835D-40C4-868E-1658D5FB875F},10123018,HY311928,06/22/2015 06:50:00 PM,022XX W TAYLOR ST,334,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,1225,12,25,28,3,1161257,1895489,2015,06/29/2015 12:46:06 PM,41.868904952000001,-87.683457711000003,"(41.868904952, -87.683457711)",11793.930956874010000,6895057.612600102100000
50,29,50,67,133,North Kenwood, , ,0.000000000000000,0.000000000000000,0.000000000000000,295000,North Kenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403351&regionType=8&service=chart,34,North Kenwood,{0B4CBD9A-DE19-4602-86F0-421D8A5963EF},10186900,HY362836,07/31/2015 05:00:00 AM,044XX S GREENWOOD AVE,325,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,222,2,4,39,3,1184378,1875560,2015,08/10/2015 12:49:37 PM,41.813706916000001,-87.599201397000002,"(41.813706916, -87.599201397)",11126.062253267697000,7417969.192091750000000
51,187,51,68,110,Little Village, , ,0.000000000000000,0.000000000000000,0.000000000000000,205000,Little Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403117&regionType=8&service=chart,103,Little Village,{E7613523-B5F9-4C10-894C-B5935E60A218},10177593,HY365770,08/02/2015 02:00:00 AM,025XX S KEELER AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1013,10,22,30,3,1148835,1886683,2015,08/09/2015 12:45:24 PM,41.844989202999997,-87.729289589999993,"(41.844989203, -87.72928959)",41930.903017317505000,98679701.854107887000000
52,10,52,69,096,Kelvin Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Kelvin Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403315&regionType=8&service=chart,28,Kelvin Park,{4CDC1D4D-945B-42C9-A424-8BFC1C4B9697},10166483,HY354684,07/25/2015 02:40:00 AM,046XX W BELMONT AVE,320,ROBBERY,STRONGARM - NO WEAPON,OTHER,false,false,2521,25,31,19,3,1144937,1920833,2015,08/01/2015 12:40:27 PM,41.938775047999997,-87.742732259999997,"(41.938775048, -87.74273226)",13212.216900650574000,6856337.681943868300000
53,2,53,70,097,Kennedy Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Kennedy Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403371&regionType=8&service=chart,72,Kennedy Park,{5654FF37-E844-4CB7-89AB-D3C88B7D2D9C},10040256,HY229982,04/21/2015 03:00:00 AM,111XX S WESTERN AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2212,22,19,75,3,1162343,1830625,2015,04/28/2015 12:45:22 PM,41.690886728999999,-87.681276457999999,"(41.690886729, -87.681276458)",10372.180681582307000,6671276.356902257500000
54,17,54,71,099,Kilbourn Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,320000,Kilbourn Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403287&regionType=8&service=chart,7,Kilbourn Park,{E335BB4B-3066-46E8-8213-C9E03029E00C},10123240,HY311419,06/22/2015 01:00:00 PM,035XX N LOWELL AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1731,17,30,16,3,1146710,1923434,2015,06/29/2015 12:46:06 PM,41.945878714000003,-87.736149385999994,"(41.945878714, -87.736149386)",14826.956332152180000,12095115.060222574000000
55,27,55,72,224,Wrigleyville,101,Lake View,0.000000000000000,0.000000000000000,0.000000000000000,375000,Wrigleyville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403294&regionType=8&service=chart,50,Wrigleyville,{0F025100-F267-479A-82EF-F8CCB019F0C8},10181145,HY368814,08/02/2015 04:00:00 AM,009XX W ADDISON ST,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,CTA TRAIN,false,false,1923,19,44,6,3,1169177,1924141,2015,08/09/2015 12:45:24 PM,41.947359519999999,-87.653547986000007,"(41.94735952, -87.653547986)",8727.172630889646800,4156272.483723911900000
56,45,56,73,102,Lake View East, , ,0.000000000000000,0.000000000000000,0.000000000000000,238300,Lake View East,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403295&regionType=8&service=chart,121,Lake View East,{985712E8-16AA-4CEF-953D-88F46C8F1734},10178975,HY367087,07/31/2015 10:30:00 PM,007XX W BELMONT AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1925,19,44,6,3,1170428,1921503,2015,08/07/2015 01:50:21 PM,41.940093425999997,-87.649027079000007,"(41.940093426, -87.649027079)",19906.345590456185000,17843651.241837393000000
57,22,57,74,042,Douglas Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Douglas Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403560&regionType=8&service=chart,45,Douglas Park,{9C314FCD-12DF-48F4-BA45-01CD95B26B49},10153031,HY342019,07/14/2015 03:00:00 PM,014XX S CALIFORNIA BLVD,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,false,false,1022,10,24,29,3,1157876,1893115,2015,07/21/2015 12:50:44 PM,41.862460020000000,-87.695934907999998,"(41.86246002, -87.695934908)",16903.129293783408000,17940961.032166492000000
58,15,58,4,109,Lithuanian Plaza,117,Marquette Park,0.000000000000000,0.000000000000000,0.000000000000000,0,Lithuanian Plaza,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403339&regionType=8&service=chart,162,Lithuanian Plaza,{2D4F1945-BC1C-4EA9-B1F1-92F35DB08B4B},10178695,HY366986,07/31/2015 08:00:00 PM,069XX S WESTERN AVE,320,ROBBERY,ARMED: HANDGUN,STREET,false,false,832,8,17,66,3,1161528,1858774,2015,08/07/2015 01:50:21 PM,41.768149018000003,-87.683482204000001,"(41.768149018, -87.683482204)",6661.361779913858300,1768300.435876307300000
59,0,59,10,118,Marycrest, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Marycrest,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403366&regionType=8&service=chart,156,Marycrest,{ED9ACF88-473F-4B8E-85EF-83989D636745},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,7922.081805016155200,3518834.523748734000000
60,2,60,18,128,Near East Side, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,,,0,,{00000000-0000-0000-0000-000000000000},10148738,HY338438,07/13/2015 01:45:00 AM,003XX E WACKER DR,330,ROBBERY,ARMED: HANDGUN,HOTEL/MOTEL,false,false,114,1,42,32,3,1178599,1902421,2015,07/20/2015 12:42:56 PM,41.887548815000002,-87.619580017999994,"(41.887548815, -87.619580018)",6461.114766401511600,2605863.616749516700000
61,0,61,34,013,Belmont Terrace, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Belmont Terrace,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403282&regionType=8&service=chart,64,Belmont Terrace,{9C178B87-E05D-4601-8834-08C774893306},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,10598.374615354198000,7027908.223661979700000
62,0,62,41,023,Brynford Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Brynford Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403270&regionType=8&service=chart,198,Brynford Park,{1BF6BBC2-793A-4216-960C-71A46DA2FE13},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,3496.128670261271500,749109.987618258340000
63,0,63,43,227,Harbour Point Estates,080,Hegwisch,0.000000000000000,0.000000000000000,0.000000000000000,0,Harbour Point Estates,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403385&regionType=8&service=chart,192,Harbour Point Estates,{42B71577-DB89-4586-8F33-5E02046530B9},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,10550.175181198756000,4157484.764535890900000
64,1,64,51,035,Chrysler Village, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Chrysler Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403336&regionType=8&service=chart,92,Chrysler Village,{31C89AFC-1113-4D4F-97D7-0A73A854FFFC},10083112,HY271360,05/22/2015 10:30:00 PM,063XX S LONG AVE,0,ROBBERY,ARMED: HANDGUN,RESIDENCE-GARAGE,false,false,813,8,13,64,3,1141541,1861831,2015,05/29/2015 12:42:57 PM,41.776929009000000,-87.756669969000001,"(41.776929009, -87.756669969)",7969.764644850853100,3540329.113569247500000
65,4,65,91,063,Fulton River District, , ,0.000000000000000,0.000000000000000,0.000000000000000,475000,Fulton River District,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403313&regionType=8&service=chart,48,Fulton River District,{9CE4EF6F-335A-4F9C-8AAD-27DA25946014},10159743,HY349129,07/21/2015 03:23:00 AM,006XX W LAKE ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,1214,12,42,28,3,1172206,1901737,2015,07/28/2015 12:43:41 PM,41.885815393000001,-87.643077061000000,"(41.885815393, -87.643077061)",11028.221140474358000,6064575.098540569700000
66,1,66,102,074,Greektown, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Greektown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403320&regionType=8&service=chart,101,Greektown,{1FC15198-8207-4407-8498-871BA0CB5771},10162775,HY351204,07/22/2015 04:05:00 PM,001XX S HALSTED ST,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SMALL RETAIL STORE,true,false,1232,12,27,28,3,1171033,1899545,2015,08/04/2015 12:37:13 PM,41.879826207999997,-87.647448862000005,"(41.879826208, -87.647448862)",6066.131171442609200,1696193.083949975200000
67,2,67,106,079,Heart of Italy, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Heart of Italy,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403329&regionType=8&service=chart,172,Heart of Italy,{38F2EE14-237A-489C-BF80-17A7AD3012DF},10092255,HY279766,05/29/2015 01:31:00 PM,023XX W CERMAK RD,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SMALL RETAIL STORE,false,false,1034,10,25,31,3,1161006,1889301,2015,06/05/2015 12:41:44 PM,41.851929677999998,-87.684550861000005,"(41.851929678, -87.684550861)",6330.865297442205700,1641491.074661731300000
68,4,68,55,041,Dearborn Park,186,South Loop,0.000000000000000,0.000000000000000,0.000000000000000,290000,Dearborn Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403344&regionType=8&service=chart,70,Dearborn Park,{B6234DF5-F42F-4B30-83E7-3CEE5703B64C},10095051,HY283513,06/01/2015 04:00:00 AM,012XX S STATE ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,false,false,131,1,2,33,3,1176485,1895005,2015,06/08/2015 12:48:46 PM,41.867246866000002,-87.627567127999995,"(41.867246866, -87.627567128)",10182.038661693205000,3467546.853337568700000
69,5,69,56,043,Dunning, , ,0.205145570000000,35.095644810000003,49579.836433719996000,220000,Dunning,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138129&regionType=8&service=chart,8,Dunning,{59435FA7-ACB8-4F89-BF4E-05811A5B96C9},10181531,HY369436,08/04/2015 10:35:00 PM,039XX N NEWCASTLE AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,1632,16,38,17,3,1130054,1925704,2015,08/11/2015 01:05:14 PM,41.952409965000001,-87.797319974999994,"(41.952409965, -87.797319975)",20698.113767082668000,21235661.125082072000000
70,4,70,57,044,East Beverly, , ,0.000000000000000,0.000000000000000,0.000000000000000,260000,East Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403375&regionType=8&service=chart,40,East Beverly,{909349E5-102B-4AEB-880E-DCC7EA9FF403},10109332,HY297671,06/12/2015 07:25:00 AM,102XX S PROSPECT AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,RESIDENCE-GARAGE,false,false,2213,22,19,72,3,1167554,1836796,2015,06/19/2015 01:10:05 PM,41.707711134999997,-87.662022424000000,"(41.707711135, -87.662022424)",16063.852228580979000,16087889.031787209000000
71,61,71,58,045,East Chatham, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,East Chatham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403360&regionType=8&service=chart,13,East Chatham,{F71C66DE-A3E5-477A-96F9-1BB2BFBE8729},10175472,HY363025,07/31/2015 06:00:00 AM,080XX S ELLIS AVE,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,false,false,631,6,8,44,3,1184324,1852099,2015,08/07/2015 01:50:21 PM,41.749329140000000,-87.600133251000003,"(41.74932914, -87.600133251)",14220.531949049351000,9256218.236349429900000
72,235,72,59,046,East Garfield Park, , ,0.702493830000000,35.423020530000002,26996.163015200000000,230000,East Garfield Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269577&regionType=8&service=chart,138,East Garfield Park,{3FAEF2A2-FC84-4306-B02D-B15D7CE9B047},10181110,HY369119,08/04/2015 05:27:00 PM,037XX W OHIO ST,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,false,1122,11,27,23,3,1151381,1903702,2015,08/11/2015 01:05:14 PM,41.891641755999999,-87.719499408999994,"(41.891641756, -87.719499409)",36081.404430588867000,55008505.475500531000000
73,4,73,60,048,East Pilsen,186,South Loop,0.000000000000000,0.000000000000000,0.000000000000000,0,East Pilsen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403331&regionType=8&service=chart,93,East Pilsen,{DC86FA9C-C0BB-4D65-8696-B957A37A0721},9969518,HY158982,02/21/2015 01:50:00 PM,021XX S CANAL ST,326,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,914,9,25,34,3,1173490,1890050,2015,02/28/2015 12:40:51 PM,41.853717025999998,-87.638709273000003,"(41.853717026, -87.638709273)",9756.460024844131100,5860559.309154969600000
74,16,74,90,054,Edgewater Beach,053,Edgewater,0.000000000000000,0.000000000000000,0.000000000000000,151400,Edgewater Beach,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403257&regionType=8&service=chart,124,Edgewater Beach,{6BAF1C8F-EF42-430A-A344-8F0423EE4E6E},10157258,HY346534,07/19/2015 03:09:00 AM,054XX N SHERIDAN RD,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,false,false,2023,20,48,77,3,1168691,1936485,2015,07/26/2015 12:39:21 PM,41.981242424000001,-87.654975160999996,"(41.981242424, -87.654975161)",20212.537182772674000,10824240.267857408000000
75,35,75,92,065,Galewood, , ,0.000000000000000,0.000000000000000,0.000000000000000,236000,Galewood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403325&regionType=8&service=chart,163,Galewood,{21B4C93C-8C89-4ED7-84FB-18546FAFF37D},10172757,HY360569,07/29/2015 02:00:00 PM,061XX W GRAND AVE,320,ROBBERY,ARMED: HANDGUN,STREET,false,false,2512,25,29,19,3,1135116,1914315,2015,08/05/2015 12:40:02 PM,41.921068912999999,-87.778982299999996,"(41.921068913, -87.7789823)",30050.536225524291000,37270561.393116929000000
76,1,76,95,068,Gladstone Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Gladstone Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403285&regionType=8&service=chart,90,Gladstone Park,{BD77267C-DA6D-46C5-832A-55DB76A412A7},9882048,HX533194,12/07/2014 05:20:00 AM,055XX N MENARD AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,1622,16,45,11,3,1136502,1936285,2014,12/14/2014 12:39:06 PM,41.981332103000000,-87.773362308000003,"(41.981332103, -87.773362308)",10591.798823006167000,3617027.022088429400000
77,40,77,96,069,Gold Coast, , ,0.000000000000000,0.000000000000000,0.000000000000000,320600,Gold Coast,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403303&regionType=8&service=chart,127,Gold Coast,{FD0D4317-89A7-4D30-898C-EFF8D8369809},10176600,HY364243,08/01/2015 04:15:00 AM,006XX N FAIRBANKS CT,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1834,18,42,8,3,1178344,1904872,2015,08/08/2015 12:41:58 PM,41.894280291999998,-87.620441663999998,"(41.894280292, -87.620441664)",24369.083027101853000,14171872.476212313000000
78,10,78,98,071,Goose Island, , ,0.000000000000000,0.000000000000000,0.000000000000000,370000,Goose Island,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403298&regionType=8&service=chart,41,Goose Island,{C6686A09-8E2F-4E7B-B6C6-C2ADB8FE9A48},10047040,HY236282,04/26/2015 04:30:00 AM,008XX N PEORIA ST,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,FACTORY/MANUFACTURING BUILDING,true,false,1213,12,27,24,3,1170380,1905895,2015,06/27/2015 12:39:45 PM,41.897265322999999,-87.649660804000007,"(41.897265323, -87.649660804)",21060.644080461756000,25931430.448454320000000
79,11,79,99,051,Eden Green, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Eden Green,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403381&regionType=8&service=chart,158,Eden Green,{454FBC25-0763-4D8B-9C02-3E634AF8FE87},10158024,HY347581,07/19/2015 11:50:00 PM,133XX S INDIANA AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,533,5,9,54,3,1179994,1816594,2015,07/26/2015 12:39:21 PM,41.651998726000002,-87.617081964999997,"(41.651998726, -87.617081965)",10174.386065857871000,5861342.382463508300000
80,3,80,101,072,Graceland West, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Graceland West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403267&regionType=8&service=chart,55,Graceland West,{44D1BAEB-8024-4C3E-AC1D-7F51BA1C92D5},10004199,HY193974,03/22/2015 08:17:00 AM,041XX N CLARK ST,320,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,false,false,1912,19,47,6,3,1166297,1927630,2015,03/29/2015 12:46:38 PM,41.956995679000002,-87.664033910000001,"(41.956995679, -87.66403391)",8247.217815325482700,3504128.184504330600000
81,109,81,103,073,Grand Crossing, , ,0.575130890000000,39.764180279999998,31139.692071570000000,173000,Grand Crossing,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276349&regionType=8&service=chart,202,Grand Crossing,{FD1DC99E-8F67-4C41-8E6A-B2477DB436FA},10167361,HY355866,07/26/2015 12:54:00 AM,014XX E 74TH ST,340,ROBBERY,ARMED: HANDGUN,STREET,false,false,324,3,5,43,3,1187350,1856259,2015,08/02/2015 12:38:55 PM,41.760673275999999,-87.588913031000004,"(41.760673276, -87.588913031)",26557.801498471108000,42315908.382806435000000
82,9,82,33,012,Belmont Heights, , ,0.000000000000000,0.000000000000000,0.000000000000000,169000,Belmont Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403283&regionType=8&service=chart,189,Belmont Heights,{98C67029-7FB7-4EEC-8381-82B142DCDBC6},10087324,HY276307,05/26/2015 10:40:00 PM,074XX W IRVING PARK RD,330,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,false,false,1631,16,36,17,3,1125846,1925722,2015,06/09/2015 12:36:01 PM,41.952530535999998,-87.812788647999994,"(41.952530536, -87.812788648)",23241.990456539312000,27310642.830211502000000
83,0,83,35,015,Beverly View, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Beverly View,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403368&regionType=8&service=chart,170,Beverly View,{8C089F45-BE16-4706-AB54-8F43BE6D3640},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,6186.005900776546700,2344900.800449559900000
84,1,84,36,016,Beverly Woods, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Beverly Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403372&regionType=8&service=chart,100,Beverly Woods,{CC67548A-A41D-49C4-B518-50CAE2E45361},9943534,HY131805,01/28/2015 02:00:00 PM,118XX S WESTERN AVE,0,ROBBERY,ATTEMPT: ARMED-HANDGUN,SMALL RETAIL STORE,true,false,2212,22,19,75,3,1162496,1825736,2015,02/22/2015 12:51:00 PM,41.677467247000003,-87.680851869999998,"(41.677467247, -87.68085187)",8130.055286854760200,3516471.899571083000000
85,1,85,37,017,Big Oaks, , ,0.000000000000000,0.000000000000000,0.000000000000000,284000,Big Oaks,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403279&regionType=8&service=chart,23,Big Oaks,{40761319-AA7E-42E9-AD45-C12FF5CB7CE9},10055790,HY245009,05/03/2015 01:50:00 AM,049XX N NORMANDY AVE,0,ROBBERY,ARMED: HANDGUN,STREET,false,false,1613,16,41,10,3,1130866,1932251,2015,05/10/2015 12:43:18 PM,41.970361646999997,-87.794183548999996,"(41.970361647, -87.794183549)",15691.770140945635000,13049271.838942584000000
86,5,86,38,018,Bowmanville, , ,0.000000000000000,0.000000000000000,0.000000000000000,383000,Bowmanville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403263&regionType=8&service=chart,38,Bowmanville,{75B8A398-1A32-444B-BE60-1FB2F390DF82},9930393,HY119204,01/18/2015 01:00:00 AM,019XX W FOSTER AVE,312,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,2012,20,40,4,3,1162837,1934596,2015,01/25/2015 12:47:39 PM,41.976184136000001,-87.676557547000002,"(41.976184136, -87.676557547)",12213.595092886304000,7124469.152088885200000
87,59,87,39,019,Brainerd, , ,0.000000000000000,0.000000000000000,0.000000000000000,160400,Brainerd,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403378&regionType=8&service=chart,187,Brainerd,{BED284CE-1EB1-4B7D-ADB8-F572BD726EF9},10179952,HY368081,08/03/2015 09:40:00 PM,091XX S ADA ST,320,ROBBERY,ARMED: HANDGUN,STREET,false,false,2222,22,21,73,3,1168888,1844350,2015,08/11/2015 01:02:50 PM,41.728411817000001,-87.656919928999997,"(41.728411817, -87.656919929)",24848.762315128028000,31687785.661008846000000
88,92,88,40,021,Brighton Park, , ,0.487224580000000,35.487993320000001,36019.070747480000000,100000,Brighton Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273040&regionType=8&service=chart,112,Brighton Park,{F7EFF1DB-BEDE-42AD-8C60-C31CDAE5C2FA},10175855,HY363251,07/31/2015 01:25:00 PM,041XX S RICHMOND ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,921,9,14,58,3,1157394,1877223,2015,08/07/2015 01:50:21 PM,41.818860340999997,-87.698135711999996,"(41.818860341, -87.698135712)",36390.237381361927000,79107792.098865077000000
89,6,89,42,025,Budlong Woods, , ,0.000000000000000,0.000000000000000,0.000000000000000,145500,Budlong Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403262&regionType=8&service=chart,216,Budlong Woods,{978A05C8-2F45-461D-B6FB-00251C8004AF},10139775,HY329262,07/05/2015 10:45:00 PM,028XX W FARRAGUT AVE,320,ROBBERY,ARMED: HANDGUN,STREET,false,false,2011,20,40,4,3,1156350,1934784,2015,07/12/2015 12:42:46 PM,41.976834017000002,-87.700407751000000,"(41.976834017, -87.700407751)",14375.289977380871000,11933003.849082664000000
90,11,90,44,026,Buena Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,234200,Buena Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403264&regionType=8&service=chart,204,Buena Park,{E6274888-A23C-4D6C-9952-58F9EF2870D4},10184612,HY369475,08/04/2015 11:17:00 PM,041XX N CLARENDON AVE,320,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1915,19,46,3,3,1170141,1927510,2015,08/11/2015 01:05:14 PM,41.956583141999999,-87.649905846999999,"(41.956583142, -87.649905847)",11434.357046315312000,7883454.025525254200000
